日期,国家,省州,累计确诊,累计治愈,累计死亡
2020/11/22,Azerbaijan,,93094,63841,1131
2020/11/22,Mexico,,1041875,779104,101676
2020/11/22,France,Guadeloupe,8225,2242,144
2020/11/22,Madagascar,,17341,16657,251
2020/11/22,Turkey,,446822,374637,12358
2020/11/22,Colombia,,1248417,1150932,35287
2020/11/22,Uzbekistan,,71617,68827,603
2020/11/22,Malawi,,6003,5441,185
2020/11/22,Burma,,79246,58758,1739
2020/11/22,Canada,Manitoba,13544,,229
2020/11/22,Cabo Verde,,10276,9730,104
2020/11/22,Lithuania,,47008,18336,439
2020/11/22,Marshall Islands,,4,1,0
2020/11/22,Ecuador,,185643,164009,13201
2020/11/22,Denmark,Greenland,18,18,0
2020/11/22,Solomon Islands,,16,5,0
2020/11/22,Canada,Diamond Princess,0,,1
2020/11/22,Canada,Prince Edward Island,68,,0
2020/11/22,Gabon,,9131,8976,59
2020/11/22,Guinea-Bissau,,2421,2286,43
2020/11/22,Andorra,,6256,5358,76
2020/11/22,Bhutan,,382,360,0
2020/11/22,Cyprus,,8643,2055,44
2020/11/22,Lebanon,,116476,67667,900
2020/11/22,Canada,Repatriated Travellers,0,,0
2020/11/22,United Kingdom,"Saint Helena, Ascension and Tristan da Cunha",3,3,0
2020/11/22,Yemen,,2069,1378,604
2020/11/22,Australia,Northern Territory,46,39,0
2020/11/22,United Arab Emirates,,158990,148871,552
2020/11/22,Australia,Victoria,20345,19525,819
2020/11/22,Canada,Ontario,107347,,3532
2020/11/22,Canada,New Brunswick,430,,6
2020/11/22,United Kingdom,British Virgin Islands,71,70,1
2020/11/22,Costa Rica,,129418,79372,1608
2020/11/22,Mali,,4255,3024,145
2020/11/22,Senegal,,15882,15488,330
2020/11/22,France,Saint Pierre and Miquelon,16,12,0
2020/11/22,Paraguay,,76476,54491,1657
2020/11/22,Angola,,14493,7346,337
2020/11/22,France,Wallis and Futuna,0,0,0
2020/11/22,India,,9139865,8562641,133738
2020/11/22,Mauritania,,8128,7591,169
2020/11/22,Iraq,,535321,465452,11958
2020/11/23,Lebanon,,117517,69079,911
2020/11/23,Russia,,2096749,1598723,36192
2020/11/23,Moldova,,98418,80882,2169
2020/11/23,Colombia,,1254979,1158897,35479
2020/11/23,Nepal,,222288,202067,1337
2020/11/23,Romania,,422852,296844,10177
2020/11/23,Nigeria,,66439,62241,1168
2020/11/23,United Kingdom,Gibraltar,967,871,5
2020/11/23,Guinea,,12841,11853,75
2020/11/23,Canada,Saskatchewan,6708,,37
2020/11/23,Canada,Diamond Princess,0,,1
2020/11/23,Zimbabwe,,9308,8288,273
2020/11/23,Gambia,,3726,3582,123
2020/11/23,Denmark,,71654,56032,789
2020/11/23,Vietnam,,1312,1151,35
2020/11/23,Saint Vincent and the Grenadines,,84,78,0
2020/11/23,Honduras,,105211,46616,2869
2020/11/23,San Marino,,1428,1149,44
2020/11/23,Australia,Western Australia,804,774,9
2020/11/23,Jordan,,188410,120014,2302
2020/11/23,Sao Tome and Principe,,981,926,17
2020/11/23,Netherlands,Sint Maarten,1012,900,25
2020/11/23,Switzerland,,300352,206700,4222
2020/11/23,Zambia,,17454,16701,357
2020/11/23,Namibia,,13897,13234,145
2020/11/23,Venezuela,,100143,94985,873
2020/11/23,Lithuania,,48197,19616,459
2020/11/23,Czechia,,496638,405982,7360
2020/11/23,Netherlands,"Bonaire, Sint Eustatius and Saba",161,155,3
2020/11/23,Canada,Nunavut,134,,0
2020/11/23,Saudi Arabia,,355489,343816,5796
2020/11/23,Canada,Alberta,48421,,476
2020/11/23,Nicaragua,,5725,4225,159
2020/11/23,Bolivia,,144034,119548,8916
2020/11/23,Qatar,,137415,134486,236
2020/11/23,Guinea-Bissau,,2422,2309,43
2020/11/23,Bosnia and Herzegovina,,80553,45760,2342
2020/11/23,Morocco,,327528,275158,5396
2020/11/23,Sudan,,16431,9737,1197
2020/11/23,Angola,,14634,7351,337
2020/11/23,Kenya,,77785,51903,1392
2020/11/23,Yemen,,2072,1379,604
2020/11/23,United Kingdom,"Saint Helena, Ascension and Tristan da Cunha",3,3,0
2020/11/23,Costa Rica,,132295,81336,1641
2020/11/23,Canada,Ontario,108677,,3553
2020/11/23,Canada,Repatriated Travellers,0,,0
2020/11/23,Afghanistan,,44988,35976,1702
2020/11/23,West Bank and Gaza,,73196,59538,645
2020/11/23,Suriname,,5297,5173,116
2020/11/23,Canada,Prince Edward Island,69,,0
2020/11/23,Mozambique,,15109,13229,126
2020/11/23,Cyprus,,8947,2055,44
2020/11/23,Netherlands,Aruba,4737,4607,45
2020/11/23,Ghana,,50941,49599,323
2020/11/23,United Kingdom,,1527495,0,55230
2020/11/23,Netherlands,Curacao,1773,1031,3
2020/11/23,Greece,,93006,23074,1714
2020/11/23,"Korea, South",,31353,26722,510
2020/11/23,Andorra,,6304,5405,76
2020/11/23,Latvia,,13236,1635,162
2020/11/23,Lesotho,,2086,1276,44
2020/11/23,Libya,,78473,49592,1102
2020/11/23,Cambodia,,306,296,0
2020/11/23,United Kingdom,Turks and Caicos Islands,746,700,6
2020/11/23,Cote d'Ivoire,,21148,20819,131
2020/11/23,Croatia,,105691,85018,1398
2020/11/23,Cuba,,7879,7356,132
2020/11/23,Bahrain,,85886,84017,339
2020/11/23,Kazakhstan,,167385,142892,2372
2020/11/23,Uruguay,,4763,3764,71
2020/11/23,Liechtenstein,,1156,952,12
2020/11/23,Jamaica,,10343,5518,239
2020/11/23,Montenegro,,31618,20031,444
2020/11/23,Belgium,,559902,0,15755
2020/11/23,New Zealand,,2031,1953,25
2020/11/23,Grenada,,41,30,0
2020/11/23,Austria,,250333,175527,2459
2020/11/23,Burundi,,664,575,1
2020/11/23,Netherlands,,489818,0,8945
2020/11/23,Sweden,,208295,0,6406
2020/11/23,Senegal,,15897,15516,330
2020/11/23,Rwanda,,5726,5197,47
2020/11/23,Georgia,,108690,89170,1012
2020/11/23,Italy,,1431795,584493,50453
2020/11/23,United Kingdom,Isle of Man,369,332,25
2020/11/23,Vanuatu,,1,0,0
2020/11/23,Guatemala,,118722,107819,4092
2020/11/23,Antigua and Barbuda,,139,128,4
2020/11/23,Albania,,33556,16230,716
2020/11/23,Monaco,,583,518,3
2020/11/23,Japan,,134554,111343,1949
2020/11/23,Spain,,1582616,150376,43131
2020/11/23,Cameroon,,23842,22177,435
2020/11/23,Algeria,,75867,49421,2294
2020/11/23,Canada,Nova Scotia,1190,,65
2020/11/23,Liberia,,1551,1331,82
2020/11/23,Comoros,,596,572,7
2020/11/23,Bahamas,,7431,5652,163
2020/11/23,Belize,,5249,2877,120
2020/11/23,Kosovo,,34940,21396,926
2020/11/23,Niger,,1381,1166,70
2020/11/23,Burma,,80505,59888,1765
2020/11/23,Uzbekistan,,71774,69054,604
2020/11/23,Azerbaijan,,95281,64475,1160
2020/11/23,Mongolia,,672,342,0
2020/11/23,Solomon Islands,,16,5,0
2020/11/23,Guyana,,5154,4034,146
2020/11/23,Cabo Verde,,10302,9791,104
2020/11/23,Haiti,,9214,7886,232
2020/11/23,Holy See,,27,15,0
2020/11/23,Canada,British Columbia,27407,,348
2020/11/23,Portugal,,264802,176827,3971
2020/11/23,Sri Lanka,,20508,14497,90
2020/11/23,United Kingdom,Montserrat,13,12,1
2020/11/23,Germany,,946822,630375,14460
2020/11/23,Samoa,,1,0,0
2020/11/23,Canada,Yukon,38,,1
2020/11/23,Congo (Kinshasa),,12278,11386,329
2020/11/23,South Africa,,769759,711195,20968
2020/11/23,Denmark,Faroe Islands,500,497,0
2020/11/23,South Sudan,,3047,1290,60
2020/11/23,Somalia,,4445,3412,113
2020/11/23,Congo (Brazzaville),,5632,4988,93
2020/11/23,Denmark,Greenland,18,18,0
2020/11/23,Marshall Islands,,4,1,0
2020/11/23,Saint Lucia,,223,106,2
2020/11/23,Slovenia,,65778,44558,1097
2020/11/23,Armenia,,126709,95099,1976
2020/11/23,France,,2146869,130633,48896
2020/11/23,Mauritania,,8167,7609,169
2020/11/23,Bangladesh,,449760,364611,6416
2020/11/23,Brazil,,6087608,5481184,169485
2020/11/23,United Kingdom,Cayman Islands,265,245,2
2020/11/23,Canada,New Brunswick,445,,7
2020/11/23,Benin,,2916,2579,43
2020/11/23,United Arab Emirates,,160055,149578,554
2020/11/23,Timor-Leste,,30,30,0
2020/11/23,Mali,,4326,3044,146
2020/11/23,Kyrgyzstan,,69885,61160,1237
2020/11/23,Turkey,,453535,377891,12511
2020/11/23,France,New Caledonia,32,32,0
2020/11/23,Ecuador,,185944,164009,13225
2020/11/23,France,French Guiana,11042,9995,70
2020/11/23,Ireland,,70711,23364,2023
2020/11/23,United Kingdom,British Virgin Islands,71,70,1
2020/11/23,Botswana,,9992,7692,31
2020/11/23,France,Saint Pierre and Miquelon,16,12,0
2020/11/23,Australia,Queensland,1197,1176,6
2020/11/23,Belarus,,125482,104698,1104
2020/11/23,Chile,,542080,517524,15106
2020/11/23,Singapore,,58165,58071,28
2020/11/23,Micronesia,,0,0,0
2020/11/23,France,Guadeloupe,8225,2242,144
2020/11/23,United Kingdom,Channel Islands,1094,887,48
2020/11/23,North Macedonia,,55127,32894,1546
2020/11/23,France,French Polynesia,13286,4842,68
2020/11/23,Serbia,,126187,0,1237
2020/11/23,Dominica,,77,63,0
2020/11/23,Estonia,,9956,5720,92
2020/11/23,Paraguay,,77072,55046,1665
2020/11/23,Hungary,,177952,43339,3891
2020/11/23,Papua New Guinea,,630,588,7
2020/11/23,Maldives,,12758,11615,46
2020/11/23,Australia,New South Wales,4548,0,53
2020/11/23,Tunisia,,89196,63846,2862
2020/11/23,France,Mayotte,5122,2964,49
2020/11/23,Saint Kitts and Nevis,,20,19,0
2020/11/23,Dominican Republic,,138829,112882,2311
2020/11/23,Syria,,7295,3155,380
2020/11/23,Luxembourg,,31111,22004,273
2020/11/23,Israel,,330275,318292,2820
2020/11/23,Finland,,21936,15300,384
2020/11/23,Panama,,155658,137004,2973
2020/11/23,El Salvador,,37562,34297,1081
2020/11/23,Fiji,,35,33,2
2020/11/23,Laos,,39,23,0
2020/11/23,Thailand,,3910,3755,60
2020/11/23,Uganda,,18165,8675,181
2020/11/23,MS Zaandam,,9,0,2
2020/11/23,Kuwait,,140393,132848,868
2020/11/23,Ethiopia,,106203,65839,1651
2020/11/23,Equatorial Guinea,,5137,5005,85
2020/11/23,Barbados,,260,241,7
2020/11/23,Iceland,,5289,5065,26
2020/11/23,Peru,,949670,879439,35595
2020/11/23,United Kingdom,Anguilla,4,3,0
2020/11/23,Oman,,122356,113577,1386
2020/11/23,Sierra Leone,,2406,1828,74
2020/11/23,France,St Martin,690,598,12
2020/11/23,Eswatini,,6233,5869,120
2020/11/23,France,Saint Barthelemy,127,94,0
2020/11/23,Slovakia,,96472,47933,693
2020/11/23,Seychelles,,166,159,0
2020/11/23,Eritrea,,558,473,0
2020/11/23,Tajikistan,,11932,11312,86
2020/11/23,Bulgaria,,124966,38226,3069
2020/11/23,Tanzania,,509,183,21
2020/11/23,Australia,Tasmania,230,217,13
2020/11/23,France,Wallis and Futuna,0,0,0
2020/11/23,Malawi,,6009,5443,185
2020/11/23,Bhutan,,386,363,0
2020/11/23,US,,12521898,4633600,260558
2020/11/23,Australia,Victoria,20345,19526,819
2020/11/23,Mauritius,,494,433,10
2020/11/23,Canada,Grand Princess,13,,0
2020/11/23,Iraq,,537457,467654,11996
2020/11/23,Malta,,9004,6831,113
2020/11/23,Norway,,33183,17998,311
2020/11/23,Egypt,,113381,101981,6560
2020/11/23,Canada,Quebec,133206,,6934
2020/11/23,Canada,Northwest Territories,15,,0
2020/11/23,Australia,Northern Territory,47,40,0
2020/11/23,France,Reunion,7689,6660,35
